Front,Back,POS,Tags
arrière,back,,vocab3kyu
peu,little,,vocab3kyu
seulement,only,,vocab3kyu
tour,round,,vocab3kyu
homme,man,,vocab3kyu
année,year,,vocab3kyu
est venu,came,,vocab3kyu
montrer,show,,vocab3kyu
tous,every,,vocab3kyu
bon,good,,vocab3kyu
moi,me,,vocab3kyu
donner,give,,vocab3kyu
notre,our,,vocab3kyu
sous,under,,vocab3kyu
nom,name,,vocab3kyu
très,very,,vocab3kyu
par,through,,vocab3kyu
juste,just,,vocab3kyu
forme,form,,vocab3kyu
phrase,sentence,,vocab3kyu
grand,great,,vocab3kyu
penser,think,,vocab3kyu
dire,say,,vocab3kyu
aider,help,,vocab3kyu
faible,low,,vocab3kyu
ligne,line,,vocab3kyu
différer,differ,,vocab3kyu
tour,turn,,vocab3kyu
la cause,cause,,vocab3kyu
beaucoup,much,,vocab3kyu
signifier,mean,,vocab3kyu
avant,before,,vocab3kyu
déménagement,move,,vocab3kyu
droit,right,,vocab3kyu
garçon,boy,,vocab3kyu
vieux,old,,vocab3kyu
trop,too,,vocab3kyu
même,same,,vocab3kyu
elle,she,,vocab3kyu
tous,all,,vocab3kyu
là,there,,vocab3kyu
quand,when,,vocab3kyu
jusqu’à,up,,vocab3kyu
utiliser,use,,vocab3kyu
votre,your,,vocab3kyu
manière,way,,vocab3kyu
sur,about,,vocab3kyu
beaucoup,many,,vocab3kyu
puis,then,,vocab3kyu
les,them,,vocab3kyu
écrire,write,,vocab3kyu
voudrais,would,,vocab3kyu
comme,like,,vocab3kyu
si,so,,vocab3kyu
ces,these,,vocab3kyu
son,her,,vocab3kyu
long,long,,vocab3kyu
faire,make,,vocab3kyu
chose,thing,,vocab3kyu
voir,see,,vocab3kyu
lui,him,,vocab3kyu
deux,two,,vocab3kyu
a,has,,vocab3kyu
regarder,look,,vocab3kyu
plus,more,,vocab3kyu
jour,day,,vocab3kyu
pourrait,could,,vocab3kyu
aller,go,,vocab3kyu
venir,come,,vocab3kyu
fait,did,,vocab3kyu
nombre,number,,vocab3kyu
son,sound,,vocab3kyu
aucun,no,,vocab3kyu
plus,most,,vocab3kyu
personnes,people,,vocab3kyu
ma,my,,vocab3kyu
sur,over,,vocab3kyu
savoir,know,,vocab3kyu
eau,water,,vocab3kyu
que,than,,vocab3kyu
appel,call,,vocab3kyu
première,first,,vocab3kyu
qui,who,,vocab3kyu
peut,may,,vocab3kyu
vers le bas,down,,vocab3kyu
côté,side,,vocab3kyu
été,been,,vocab3kyu
maintenant,now,,vocab3kyu
trouver,find,,vocab3kyu
tête,head,,vocab3kyu
supporter,stand,,vocab3kyu
propre,own,,vocab3kyu
page,page,,vocab3kyu
devrait,should,,vocab3kyu
pays,country,,vocab3kyu
trouvé,found,,vocab3kyu
réponse,answer,,vocab3kyu
école,school,,vocab3kyu
croître,grow,,vocab3kyu
étude,study,,vocab3kyu
encore,still,,vocab3kyu
apprendre,learn,,vocab3kyu
usine,plant,,vocab3kyu
couvercle,cover,,vocab3kyu
nourriture,food,,vocab3kyu
soleil,sun,,vocab3kyu
quatre,four,,vocab3kyu
entre,between,,vocab3kyu
état,state,,vocab3kyu
garder,keep,,vocab3kyu
œil,eye,,vocab3kyu
jamais,never,,vocab3kyu
dernier,last,,vocab3kyu
laisser,let,,vocab3kyu
pensée,thought,,vocab3kyu
ville,city,,vocab3kyu
arbre,tree,,vocab3kyu
traverser,cross,,vocab3kyu
ferme,farm,,vocab3kyu
dur,hard,,vocab3kyu
début,start,,vocab3kyu
puissance,might,,vocab3kyu
histoire,story,,vocab3kyu
scie,saw,,vocab3kyu
loin,far,,vocab3kyu
mer,sea,,vocab3kyu
tirer,draw,,vocab3kyu
gauche,left,,vocab3kyu
tard,late,,vocab3kyu
courir,run,,vocab3kyu
needs a context,don’t,,vocab3kyu
tandis que,while,,vocab3kyu
presse,press,,vocab3kyu
proche,close,,vocab3kyu
nuit,night,,vocab3kyu
réel,real,,vocab3kyu
vie,life,,vocab3kyu
peu,few,,vocab3kyu
nord,north,,vocab3kyu
livre,book,,vocab3kyu
porter,carry,,vocab3kyu
a pris,took,,vocab3kyu
science,science,,vocab3kyu
manger,eat,,vocab3kyu
chambre,room,,vocab3kyu
ami,friend,,vocab3kyu
a commencé,began,,vocab3kyu
idée,idea,,vocab3kyu
poisson,fish,,vocab3kyu
montagne,mountain,,vocab3kyu
Arrêtez,stop,,vocab3kyu
une fois,once,,vocab3kyu
base,base,,vocab3kyu
entendre,hear,,vocab3kyu
cheval,horse,,vocab3kyu
coupe,cut,,vocab3kyu
sûr,sure,,vocab3kyu
regarder,watch,,vocab3kyu
couleur,color,,vocab3kyu
face,face,,vocab3kyu
bois,wood,,vocab3kyu
principal,main,,vocab3kyu
ouvert,open,,vocab3kyu
paraître,seem,,vocab3kyu
ensemble,together,,vocab3kyu
suivant,next,,vocab3kyu
blanc,white,,vocab3kyu
enfants,children,,vocab3kyu
commencer,begin,,vocab3kyu
eu,got,,vocab3kyu
marcher,walk,,vocab3kyu
exemple,example,,vocab3kyu
facilité,ease,,vocab3kyu
papier,paper,,vocab3kyu
groupe,group,,vocab3kyu
toujours,always,,vocab3kyu
musique,music,,vocab3kyu
ceux,those,,vocab3kyu
tous les deux,both,,vocab3kyu
marque,mark,,vocab3kyu
souvent,often,,vocab3kyu
lettre,letter,,vocab3kyu
jusqu’à ce que,until,,vocab3kyu
mile,mile,,vocab3kyu
rivière,river,,vocab3kyu
voiture,car,,vocab3kyu
pieds,feet,,vocab3kyu
soins,care,,vocab3kyu
deuxième,second,,vocab3kyu
assez,enough,,vocab3kyu
plaine,plain,,vocab3kyu
fille,girl,,vocab3kyu
habituel,usual,,vocab3kyu
jeune,young,,vocab3kyu
prêt,ready,,vocab3kyu
au-dessus,above,,vocab3kyu
jamais,ever,,vocab3kyu
rouge,red,,vocab3kyu
liste,list,,vocab3kyu
bien que,though,,vocab3kyu
sentir,feel,,vocab3kyu
parler,talk,,vocab3kyu
oiseau,bird,,vocab3kyu
bientôt,soon,,vocab3kyu
corps,body,,vocab3kyu
chien,dog,,vocab3kyu
famille,family,,vocab3kyu
direct,direct,,vocab3kyu
pose,pose,,vocab3kyu
laisser,leave,,vocab3kyu
chanson,song,,vocab3kyu
mesurer,measure,,vocab3kyu
porte,door,,vocab3kyu
produit,product,,vocab3kyu
noir,black,,vocab3kyu
court,short,,vocab3kyu
chiffre,numeral,,vocab3kyu
classe,class,,vocab3kyu
vent,wind,,vocab3kyu
question,question,,vocab3kyu
arriver,happen,,vocab3kyu
complète,complete,,vocab3kyu
navire,ship,,vocab3kyu
zone,area,,vocab3kyu
moitié,half,,vocab3kyu
rock,rock,,vocab3kyu
ordre,order,,vocab3kyu
feu,fire,,vocab3kyu
sud,south,,vocab3kyu
problème,problem,,vocab3kyu
pièce,piece,,vocab3kyu
dit,told,,vocab3kyu
savait,knew,,vocab3kyu
passer,pass,,vocab3kyu
depuis,since,,vocab3kyu
haut,top,,vocab3kyu
ensemble,whole,,vocab3kyu
roi,king,,vocab3kyu
rue,street,,vocab3kyu
pouce,inch,,vocab3kyu
multiplier,multiply,,vocab3kyu
rien,nothing,,vocab3kyu
cours,course,,vocab3kyu
rester,stay,,vocab3kyu
roue,wheel,,vocab3kyu
plein,full,,vocab3kyu
force,force,,vocab3kyu
bleu,blue,,vocab3kyu
objet,object,,vocab3kyu
décider,decide,,vocab3kyu
surface,surface,,vocab3kyu
profond,deep,,vocab3kyu
lune,moon,,vocab3kyu
île,island,,vocab3kyu
pied,foot,,vocab3kyu
système,system,,vocab3kyu
occupé,busy,,vocab3kyu
test,test,,vocab3kyu
record,record,,vocab3kyu
bateau,boat,,vocab3kyu
commun,common,,vocab3kyu
or,gold,,vocab3kyu
possible,possible,,vocab3kyu
plan,plane,,vocab3kyu
place,stead,,vocab3kyu
sec,dry,,vocab3kyu
se demander,wonder,,vocab3kyu
rire,laugh,,vocab3kyu
mille,thousand,,vocab3kyu
il ya,ago,,vocab3kyu
ran,ran,,vocab3kyu
vérifier,check,,vocab3kyu
jeu,game,,vocab3kyu
forme,shape,,vocab3kyu
assimiler,equate,,vocab3kyu
chaud,hot,,vocab3kyu
manquer,miss,,vocab3kyu
apporté,brought,,vocab3kyu
chaleur,heat,,vocab3kyu
neige,snow,,vocab3kyu
pneu,tire,,vocab3kyu
apporter,bring,,vocab3kyu
oui,yes,,vocab3kyu
lointain,distant,,vocab3kyu
remplir,fill,,vocab3kyu
est,east,,vocab3kyu
peindre,paint,,vocab3kyu
langue,language,,vocab3kyu
entre,among,,vocab3kyu
unité,unit,,vocab3kyu
puissance,power,,vocab3kyu
ville,town,,vocab3kyu
fin,fine,,vocab3kyu
certain,certain,,vocab3kyu
voler,fly,,vocab3kyu
tomber,fall,,vocab3kyu
conduire,lead,,vocab3kyu
cri,cry,,vocab3kyu
sombre,dark,,vocab3kyu
machine,machine,,vocab3kyu
Note,note,,vocab3kyu
patienter,wait,,vocab3kyu
plan,plan,,vocab3kyu
figure,figure,,vocab3kyu
étoile,star,,vocab3kyu
boîte,box,,vocab3kyu
nom,noun,,vocab3kyu
domaine,field,,vocab3kyu
reste,rest,,vocab3kyu
correct,correct,,vocab3kyu
capable,able,,vocab3kyu
livre,pound,,vocab3kyu
Terminé,done,,vocab3kyu
beauté,beauty,,vocab3kyu
entraînement,drive,,vocab3kyu
résisté,stood,,vocab3kyu
contenir,contain,,vocab3kyu
avant,front,,vocab3kyu
enseigner,teach,,vocab3kyu
semaine,week,,vocab3kyu
finale,final,,vocab3kyu
donné,gave,,vocab3kyu
vert,green,,vocab3kyu
oh,oh,,vocab3kyu
rapide,quick,,vocab3kyu
développer,develop,,vocab3kyu
océan,ocean,,vocab3kyu
chaud,warm,,vocab3kyu
gratuit,free,,vocab3kyu
minute,minute,,vocab3kyu
fort,strong,,vocab3kyu
spécial,special,,vocab3kyu
esprit,mind,,vocab3kyu
derrière,behind,,vocab3kyu
clair,clear,,vocab3kyu
queue,tail,,vocab3kyu
produire,produce,,vocab3kyu
fait,fact,,vocab3kyu
espace,space,,vocab3kyu
entendu,heard,,vocab3kyu
meilleur,best,,vocab3kyu
heure,hour,,vocab3kyu
mieux,better,,vocab3kyu
vrai,true,,vocab3kyu
pendant,during,,vocab3kyu
cent,hundred,,vocab3kyu
cinq,five,,vocab3kyu
rappeler,remember,,vocab3kyu
étape,step,,vocab3kyu
tôt,early,,vocab3kyu
tenir,hold,,vocab3kyu
ouest,west,,vocab3kyu
sol,ground,,vocab3kyu
intérêt,interest,,vocab3kyu
atteindre,reach,,vocab3kyu
rapide,fast,,vocab3kyu
verbe,verb,,vocab3kyu
chanter,sing,,vocab3kyu
écouter,listen,,vocab3kyu
six,six,,vocab3kyu
table,table,,vocab3kyu
Voyage,travel,,vocab3kyu
moins,less,,vocab3kyu
matin,morning,,vocab3kyu
dix,ten,,vocab3kyu
simple,simple,,vocab3kyu
plusieurs,several,,vocab3kyu
voyelle,vowel,,vocab3kyu
vers,toward,,vocab3kyu
guerre,war,,vocab3kyu
poser,lay,,vocab3kyu
contre,against,,vocab3kyu
modèle,pattern,,vocab3kyu
lent,slow,,vocab3kyu
centre,center,,vocab3kyu
amour,love,,vocab3kyu
personne,person,,vocab3kyu
argent,money,,vocab3kyu
servir,serve,,vocab3kyu
apparaître,appear,,vocab3kyu
route,road,,vocab3kyu
carte,map,,vocab3kyu
pluie,rain,,vocab3kyu
règle,rule,,vocab3kyu
gouverner,govern,,vocab3kyu
tirer,pull,,vocab3kyu
froid,cold,,vocab3kyu
avis,notice,,vocab3kyu
voix,voice,,vocab3kyu
énergie,energy,,vocab3kyu
chasse,hunt,,vocab3kyu
probable,probable,,vocab3kyu
lit,bed,,vocab3kyu
frère,brother,,vocab3kyu
œuf,egg,,vocab3kyu
tour,ride,,vocab3kyu
cellule,cell,,vocab3kyu
croire,believe,,vocab3kyu
peut-être,perhaps,,vocab3kyu
choisir,pick,,vocab3kyu
soudain,sudden,,vocab3kyu
compter,count,,vocab3kyu
carré,square,,vocab3kyu
raison,reason,,vocab3kyu
longueur,length,,vocab3kyu
représenter,represent,,vocab3kyu
art,art,,vocab3kyu
sujet,subject,,vocab3kyu
région,region,,vocab3kyu
taille,size,,vocab3kyu
varier,vary,,vocab3kyu
régler,settle,,vocab3kyu
parler,speak,,vocab3kyu
poids,weight,,vocab3kyu
général,general,,vocab3kyu
glace,ice,,vocab3kyu
question,matter,,vocab3kyu
cercle,circle,,vocab3kyu
paire,pair,,vocab3kyu
inclure,include,,vocab3kyu
fracture,divide,,vocab3kyu
syllabe,syllable,,vocab3kyu
feutre,felt,,vocab3kyu
grandiose,grand,,vocab3kyu
balle,ball,,vocab3kyu
encore,yet,,vocab3kyu
vague,wave,,vocab3kyu
tomber,drop,,vocab3kyu
cœur,heart,,vocab3kyu
h,am,,vocab3kyu
présent,present,,vocab3kyu
lourd,heavy,,vocab3kyu
danse,dance,,vocab3kyu
moteur,engine,,vocab3kyu
position,position,,vocab3kyu
bras,arm,,vocab3kyu
large,wide,,vocab3kyu
voile,sail,,vocab3kyu
matériel,material,,vocab3kyu
fraction,fraction,,vocab3kyu
forêt,forest,,vocab3kyu
s’asseoir,sit,,vocab3kyu
course,race,,vocab3kyu
fenêtre,window,,vocab3kyu
magasin,store,,vocab3kyu
été,summer,,vocab3kyu
train,train,,vocab3kyu
sommeil,sleep,,vocab3kyu
prouver,prove,,vocab3kyu
seul,lone,,vocab3kyu
jambe,leg,,vocab3kyu
exercice,exercise,,vocab3kyu
mur,wall,,vocab3kyu
capture,catch,,vocab3kyu
monture,mount,,vocab3kyu
souhaiter,wish,,vocab3kyu
ciel,sky,,vocab3kyu
conseil,board,,vocab3kyu
joie,joy,,vocab3kyu
hiver,winter,,vocab3kyu
sat,sat,,vocab3kyu
écrit,written,,vocab3kyu
sauvage,wild,,vocab3kyu
instrument,instrument,,vocab3kyu
conservé,kept,,vocab3kyu
verre,glass,,vocab3kyu
herbe,grass,,vocab3kyu
vache,cow,,vocab3kyu
emploi,job,,vocab3kyu
bord,edge,,vocab3kyu
signe,sign,,vocab3kyu
visite,visit,,vocab3kyu
passé,past,,vocab3kyu
doux,soft,,vocab3kyu
amusement,fun,,vocab3kyu
clair,bright,,vocab3kyu
gaz,gas,,vocab3kyu
temps,weather,,vocab3kyu
mois,month,,vocab3kyu
million,million,,vocab3kyu
porter,bear,,vocab3kyu
finition,finish,,vocab3kyu
heureux,happy,,vocab3kyu
espoir,hope,,vocab3kyu
fleur,flower,,vocab3kyu
vêtir,clothe,,vocab3kyu
étrange,strange,,vocab3kyu
disparu,gone,,vocab3kyu
commerce,trade,,vocab3kyu
mélodie,melody,,vocab3kyu
voyage,trip,,vocab3kyu
bureau,office,,vocab3kyu
recevoir,receive,,vocab3kyu
rangée,row,,vocab3kyu
bouche,mouth,,vocab3kyu
exact,exact,,vocab3kyu
symbole,symbol,,vocab3kyu
mourir,die,,vocab3kyu
moins,least,,vocab3kyu
difficulté,trouble,,vocab3kyu
cri,shout,,vocab3kyu
sauf,except,,vocab3kyu
écrit,wrote,,vocab3kyu
semence,seed,,vocab3kyu
ton,tone,,vocab3kyu
joindre,join,,vocab3kyu
suggérer,suggest,,vocab3kyu
propre,clean,,vocab3kyu
pause,break,,vocab3kyu
dame,lady,,vocab3kyu
cour,yard,,vocab3kyu
augmenter,rise,,vocab3kyu
mauvais,bad,,vocab3kyu
coup,blow,,vocab3kyu
huile,oil,,vocab3kyu
sang,blood,,vocab3kyu
toucher,touch,,vocab3kyu
a augmenté,grew,,vocab3kyu
cent,cent,,vocab3kyu
mélanger,mix,,vocab3kyu
équipe,team,,vocab3kyu
fil,wire,,vocab3kyu
coût,cost,,vocab3kyu
perdu,lost,,vocab3kyu
brun,brown,,vocab3kyu
porter,wear,,vocab3kyu
jardin,garden,,vocab3kyu
égal,equal,,vocab3kyu
expédié,sent,,vocab3kyu
choisir,choose,,vocab3kyu
est tombé,fell,,vocab3kyu
s’adapter,fit,,vocab3kyu
débit,flow,,vocab3kyu
juste,fair,,vocab3kyu
banque,bank,,vocab3kyu
recueillir,collect,,vocab3kyu
sauver,save,,vocab3kyu
contrôle,control,,vocab3kyu
décimal,decimal,,vocab3kyu
oreille,ear,,vocab3kyu
autre,else,,vocab3kyu
tout à fait,quite,,vocab3kyu
cassé,broke,,vocab3kyu
cas,case,,vocab3kyu
milieu,middle,,vocab3kyu
tuer,kill,,vocab3kyu
fils,son,,vocab3kyu
lac,lake,,vocab3kyu
moment,moment,,vocab3kyu
échelle,scale,,vocab3kyu
fort,loud,,vocab3kyu
printemps,spring,,vocab3kyu
observer,observe,,vocab3kyu
enfant,child,,vocab3kyu
droit,straight,,vocab3kyu
consonne,consonant,,vocab3kyu
nation,nation,,vocab3kyu
dictionnaire,dictionary,,vocab3kyu
lait,milk,,vocab3kyu
vitesse,speed,,vocab3kyu
méthode,method,,vocab3kyu
organe,organ,,vocab3kyu
payer,pay,,vocab3kyu
âge,age,,vocab3kyu
section,section,,vocab3kyu
robe,dress,,vocab3kyu
nuage,cloud,,vocab3kyu
surprise,surprise,,vocab3kyu
calme,quiet,,vocab3kyu
pierre,stone,,vocab3kyu
minuscule,tiny,,vocab3kyu
montée,climb,,vocab3kyu
frais,cool,,vocab3kyu
conception,design,,vocab3kyu
pauvres,poor,,vocab3kyu
lot,lot,,vocab3kyu
expérience,experiment,,vocab3kyu
bas,bottom,,vocab3kyu
clé,key,,vocab3kyu
fer,iron,,vocab3kyu
unique,single,,vocab3kyu
bâton,stick,,vocab3kyu
plat,flat,,vocab3kyu
vingt,twenty,,vocab3kyu
peau,skin,,vocab3kyu
sourire,smile,,vocab3kyu
pli,crease,,vocab3kyu
trou,hole,,vocab3kyu
sauter,jump,,vocab3kyu
bébé,baby,,vocab3kyu
huit,eight,,vocab3kyu
village,village,,vocab3kyu
se rencontrent,meet,,vocab3kyu
racine,root,,vocab3kyu
acheter,buy,,vocab3kyu
augmenter,raise,,vocab3kyu
résoudre,solve,,vocab3kyu
métal,metal,,vocab3kyu
si,whether,,vocab3kyu
pousser,push,,vocab3kyu
sept,seven,,vocab3kyu
paragraphe,paragraph,,vocab3kyu
troisième,third,,vocab3kyu
doit,shall,,vocab3kyu
en attente,held,,vocab3kyu
cheveux,hair,,vocab3kyu
décrire,describe,,vocab3kyu
cuisinier,cook,,vocab3kyu
étage,floor,,vocab3kyu
chaque,either,,vocab3kyu
résultat,result,,vocab3kyu
brûler,burn,,vocab3kyu
colline,hill,,vocab3kyu
coffre-fort,safe,,vocab3kyu
chat,cat,,vocab3kyu
siècle,century,,vocab3kyu
envisager,consider,,vocab3kyu
type,type,,vocab3kyu
droit,law,,vocab3kyu
peu,bit,,vocab3kyu
côte,coast,,vocab3kyu
copie,copy,,vocab3kyu
phrase,phrase,,vocab3kyu
silencieux,silent,,vocab3kyu
haut,tall,,vocab3kyu
sable,sand,,vocab3kyu
sol,soil,,vocab3kyu
rouleau,roll,,vocab3kyu
température,temperature,,vocab3kyu
doigt,finger,,vocab3kyu
industrie,industry,,vocab3kyu
valeur,value,,vocab3kyu
lutte,fight,,vocab3kyu
mensonge,lie,,vocab3kyu
battre,beat,,vocab3kyu
exciter,excite,,vocab3kyu
naturel,natural,,vocab3kyu
vue,view,,vocab3kyu
sens,sense,,vocab3kyu
capital,capital,,vocab3kyu
ne sera pas,won’t,,vocab3kyu
chaise,chair,,vocab3kyu
danger,danger,,vocab3kyu
fruit,fruit,,vocab3kyu
riche,rich,,vocab3kyu
épais,thick,,vocab3kyu
soldat,soldier,,vocab3kyu
processus,process,,vocab3kyu
fonctionner,operate,,vocab3kyu
pratique,practice,,vocab3kyu
séparé,separate,,vocab3kyu
difficile,difficult,,vocab3kyu
médecin,doctor,,vocab3kyu
s’il vous plaît,please,,vocab3kyu
protéger,protect,,vocab3kyu
midi,noon,,vocab3kyu
récolte,crop,,vocab3kyu
moderne,modern,,vocab3kyu
élément,element,,vocab3kyu
frapper,hit,,vocab3kyu
étudiant,student,,vocab3kyu
coin,corner,,vocab3kyu
partie,party,,vocab3kyu
alimentation,supply,,vocab3kyu
dont,whose,,vocab3kyu
localiser,locate,,vocab3kyu
anneau,ring,,vocab3kyu
caractère,character,,vocab3kyu
insecte,insect,,vocab3kyu
pris,caught,,vocab3kyu
période,period,,vocab3kyu
indiquer,indicate,,vocab3kyu
radio,radio,,vocab3kyu
rayon,spoke,,vocab3kyu
atome,atom,,vocab3kyu
humain,human,,vocab3kyu
histoire,history,,vocab3kyu
effet,effect,,vocab3kyu
électrique,electric,,vocab3kyu
attendre,expect,,vocab3kyu
os,bone,,vocab3kyu
rail,rail,,vocab3kyu
imaginer,imagine,,vocab3kyu
fournir,provide,,vocab3kyu
se mettre d’accord,agree,,vocab3kyu
ainsi,thus,,vocab3kyu
doux,gentle,,vocab3kyu
femme,woman,,vocab3kyu
capitaine,captain,,vocab3kyu
deviner,guess,,vocab3kyu
nécessaire,necessary,,vocab3kyu
net,sharp,,vocab3kyu
aile,wing,,vocab3kyu
créer,create,,vocab3kyu
voisin,neighbor,,vocab3kyu
lavage,wash,,vocab3kyu
chauve-souris,bat,,vocab3kyu
plutôt,rather,,vocab3kyu
foule,crowd,,vocab3kyu
blé,corn,,vocab3kyu
comparer,compare,,vocab3kyu
poème,poem,,vocab3kyu
chaîne,string,,vocab3kyu
cloche,bell,,vocab3kyu
dépendre,depend,,vocab3kyu
viande,meat,,vocab3kyu
rub,rub,,vocab3kyu
tube,tube,,vocab3kyu
célèbre,famous,,vocab3kyu
dollar,dollar,,vocab3kyu
courant,stream,,vocab3kyu
peur,fear,,vocab3kyu
vue,sight,,vocab3kyu
mince,thin,,vocab3kyu
triangle,triangle,,vocab3kyu
planète,planet,,vocab3kyu
se dépêcher,hurry,,vocab3kyu
chef,chief,,vocab3kyu
colonie,colony,,vocab3kyu
horloge,clock,,vocab3kyu
mine,mine,,vocab3kyu
lien,tie,,vocab3kyu
entrer,enter,,vocab3kyu
majeur,major,,vocab3kyu
frais,fresh,,vocab3kyu
recherche,search,,vocab3kyu
envoyer,send,,vocab3kyu
jaune,yellow,,vocab3kyu
pistolet,gun,,vocab3kyu
permettre,allow,,vocab3kyu
impression,print,,vocab3kyu
mort,dead,,vocab3kyu
place,spot,,vocab3kyu
désert,desert,,vocab3kyu
costume,suit,,vocab3kyu
courant,current,,vocab3kyu
ascenseur,lift,,vocab3kyu
rose,rose,,vocab3kyu
arriver,arrive,,vocab3kyu
maître,master,,vocab3kyu
piste,track,,vocab3kyu
mère,parent,,vocab3kyu
rivage,shore,,vocab3kyu
division,division,,vocab3kyu
feuille,sheet,,vocab3kyu
substance,substance,,vocab3kyu
favoriser,favor,,vocab3kyu
relier,connect,,vocab3kyu
poste,post,,vocab3kyu
passer,spend,,vocab3kyu
corde,chord,,vocab3kyu
graisse,fat,,vocab3kyu
heureux,glad,,vocab3kyu
original,original,,vocab3kyu
part,share,,vocab3kyu
station,station,,vocab3kyu
papa,dad,,vocab3kyu
pain,bread,,vocab3kyu
charger,charge,,vocab3kyu
propre,proper,,vocab3kyu
bar,bar,,vocab3kyu
proposition,offer,,vocab3kyu
segment,segment,,vocab3kyu
esclave,slave,,vocab3kyu
canard,duck,,vocab3kyu
instant,instant,,vocab3kyu
marché,market,,vocab3kyu
degré,degree,,vocab3kyu
peupler,populate,,vocab3kyu
poussin,chick,,vocab3kyu
cher,dear,,vocab3kyu
ennemi,enemy,,vocab3kyu
répondre,reply,,vocab3kyu
boisson,drink,,vocab3kyu
se produire,occur,,vocab3kyu
support,support,,vocab3kyu
discours,speech,,vocab3kyu
nature,nature,,vocab3kyu
gamme,range,,vocab3kyu
vapeur,steam,,vocab3kyu
mouvement,motion,,vocab3kyu
chemin,path,,vocab3kyu
liquide,liquid,,vocab3kyu
enregistrer,log,,vocab3kyu
signifiait,meant,,vocab3kyu
quotient,quotient,,vocab3kyu
dents,teeth,,vocab3kyu
coquille,shell,,vocab3kyu
cou,neck,,vocab3kyu
oxygène,oxygen,,vocab3kyu
sucre,sugar,,vocab3kyu
décès,death,,vocab3kyu
assez,pretty,,vocab3kyu
compétence,skill,,vocab3kyu
femmes,women,,vocab3kyu
saison,season,,vocab3kyu
solution,solution,,vocab3kyu
aimant,magnet,,vocab3kyu
argent,silver,,vocab3kyu
merci,thank,,vocab3kyu
branche,branch,,vocab3kyu
rencontre,match,,vocab3kyu
suffixe,suffix,,vocab3kyu
particulièrement,especially,,vocab3kyu
figue,fig,,vocab3kyu
peur,afraid,,vocab3kyu
énorme,huge,,vocab3kyu
sœur,sister,,vocab3kyu
