Front,Back,POS,Tags
la cause,原因,,vocab3kyu
beaucoup,多くの,,vocab3kyu
signifier,平均,,vocab3kyu
avant,前に,,vocab3kyu
déménagement,動く,,vocab3kyu
droit,右,,vocab3kyu
garçon,男の子,,vocab3kyu
vieux,古い,,vocab3kyu
trop,あまりにも,,vocab3kyu
même,同じ,,vocab3kyu
elle,彼女,,vocab3kyu
tous,全て,,vocab3kyu
là,そこには,,vocab3kyu
quand,いつ,,vocab3kyu
jusqu’à,上,,vocab3kyu
utiliser,使用,,vocab3kyu
votre,あなたの,,vocab3kyu
manière,方法,,vocab3kyu
sur,について,,vocab3kyu
beaucoup,多くの,,vocab3kyu
puis,それから,,vocab3kyu
les,彼ら,,vocab3kyu
écrire,書く,,vocab3kyu
voudrais,します,,vocab3kyu
comme,のように,,vocab3kyu
si,それで,,vocab3kyu
ces,これら,,vocab3kyu
son,彼女,,vocab3kyu
long,長さ,,vocab3kyu
faire,作る,,vocab3kyu
chose,もの,,vocab3kyu
voir,見る,,vocab3kyu
lui,彼,,vocab3kyu
deux,二,,vocab3kyu
a,もっている,,vocab3kyu
regarder,見て,,vocab3kyu
plus,もっと,,vocab3kyu
jour,日,,vocab3kyu
pourrait,できた,,vocab3kyu
aller,行く,,vocab3kyu
venir,来る,,vocab3kyu
fait,した,,vocab3kyu
nombre,番号,,vocab3kyu
son,音,,vocab3kyu
aucun,いいえ,,vocab3kyu
plus,ほとんど,,vocab3kyu
personnes,人々,,vocab3kyu
ma,私の,,vocab3kyu
sur,以上,,vocab3kyu
savoir,知る,,vocab3kyu
eau,水,,vocab3kyu
que,よりも,,vocab3kyu
appel,電話,,vocab3kyu
première,初め,,vocab3kyu
qui,誰が,,vocab3kyu
peut,5月,,vocab3kyu
vers le bas,下,,vocab3kyu
côté,側,,vocab3kyu
été,された,,vocab3kyu
maintenant,今,,vocab3kyu
trouver,探す,,vocab3kyu
tête,頭,,vocab3kyu
supporter,立つ,,vocab3kyu
propre,自分の,,vocab3kyu
page,ページ,,vocab3kyu
devrait,すべき,,vocab3kyu
pays,国,,vocab3kyu
trouvé,見つかった,,vocab3kyu
réponse,答え,,vocab3kyu
école,学校,,vocab3kyu
croître,育つ,,vocab3kyu
étude,勉強,,vocab3kyu
encore,まだ,,vocab3kyu
apprendre,学ぶ,,vocab3kyu
usine,植物,,vocab3kyu
couvercle,カバー,,vocab3kyu
nourriture,食べ物,,vocab3kyu
soleil,太陽,,vocab3kyu
quatre,4,,vocab3kyu
entre,間,,vocab3kyu
état,州,,vocab3kyu
garder,保つ,,vocab3kyu
œil,目,,vocab3kyu
jamais,一度もない,,vocab3kyu
dernier,最後,,vocab3kyu
laisser,させて,,vocab3kyu
pensée,考え,,vocab3kyu
ville,市,,vocab3kyu
arbre,木,,vocab3kyu
traverser,クロス,,vocab3kyu
ferme,農場,,vocab3kyu
dur,難しい,,vocab3kyu
début,始める,,vocab3kyu
puissance,かもしれない,,vocab3kyu
histoire,話,,vocab3kyu
scie,見た,,vocab3kyu
loin,遠い,,vocab3kyu
mer,海,,vocab3kyu
tirer,描く,,vocab3kyu
gauche,左,,vocab3kyu
tard,遅い,,vocab3kyu
courir,走る,,vocab3kyu
needs a context,しないでください,,vocab3kyu
tandis que,その間,,vocab3kyu
presse,プレス,,vocab3kyu
proche,近い,,vocab3kyu
nuit,夜,,vocab3kyu
réel,本物,,vocab3kyu
vie,人生,,vocab3kyu
peu,少し,,vocab3kyu
nord,北,,vocab3kyu
livre,本,,vocab3kyu
porter,運ぶ,,vocab3kyu
a pris,取った,,vocab3kyu
science,科学,,vocab3kyu
manger,食べる,,vocab3kyu
chambre,部屋,,vocab3kyu
ami,友達,,vocab3kyu
a commencé,始まった,,vocab3kyu
idée,アイデア,,vocab3kyu
poisson,魚,,vocab3kyu
montagne,山,,vocab3kyu
Arrêtez,停止,,vocab3kyu
une fois,一度,,vocab3kyu
base,ベース,,vocab3kyu
entendre,聞く,,vocab3kyu
cheval,馬,,vocab3kyu
coupe,カット,,vocab3kyu
sûr,もちろん,,vocab3kyu
regarder,時計,,vocab3kyu
couleur,色,,vocab3kyu
face,顔,,vocab3kyu
bois,木材,,vocab3kyu
principal,主要,,vocab3kyu
ouvert,開ける,,vocab3kyu
paraître,思われる,,vocab3kyu
ensemble,一緒に,,vocab3kyu
suivant,次,,vocab3kyu
blanc,白,,vocab3kyu
enfants,子供たち,,vocab3kyu
commencer,始める,,vocab3kyu
eu,手に入れた,,vocab3kyu
marcher,歩く,,vocab3kyu
exemple,例,,vocab3kyu
facilité,容易に,,vocab3kyu
papier,紙,,vocab3kyu
groupe,グループ,,vocab3kyu
toujours,いつも,,vocab3kyu
musique,音楽,,vocab3kyu
ceux,それらの,,vocab3kyu
tous les deux,両方,,vocab3kyu
marque,マーク,,vocab3kyu
souvent,頻繁,,vocab3kyu
lettre,手紙,,vocab3kyu
jusqu’à ce que,それまで,,vocab3kyu
mile,マイル,,vocab3kyu
rivière,川,,vocab3kyu
voiture,車,,vocab3kyu
pieds,足,,vocab3kyu
soins,ケア,,vocab3kyu
deuxième,2番,,vocab3kyu
assez,十分,,vocab3kyu
plaine,無地,,vocab3kyu
fille,女の子,,vocab3kyu
habituel,いつもの,,vocab3kyu
jeune,若い,,vocab3kyu
prêt,準備ができて,,vocab3kyu
au-dessus,その上,,vocab3kyu
jamais,これまで,,vocab3kyu
rouge,赤,,vocab3kyu
liste,リスト,,vocab3kyu
bien que,けれど,,vocab3kyu
sentir,感じる,,vocab3kyu
parler,話す,,vocab3kyu
oiseau,鳥,,vocab3kyu
bientôt,すぐ,,vocab3kyu
corps,体,,vocab3kyu
chien,犬,,vocab3kyu
famille,家族,,vocab3kyu
direct,直接,,vocab3kyu
pose,ポーズ,,vocab3kyu
laisser,離れる,,vocab3kyu
chanson,歌,,vocab3kyu
mesurer,測定,,vocab3kyu
porte,ドア,,vocab3kyu
produit,製品,,vocab3kyu
noir,黒,,vocab3kyu
court,短い,,vocab3kyu
chiffre,数字,,vocab3kyu
classe,クラス,,vocab3kyu
vent,風,,vocab3kyu
question,質問,,vocab3kyu
arriver,起こる,,vocab3kyu
complète,完了,,vocab3kyu
navire,船,,vocab3kyu
zone,エリア,,vocab3kyu
moitié,半分,,vocab3kyu
rock,ロック,,vocab3kyu
ordre,注文,,vocab3kyu
feu,火,,vocab3kyu
sud,南,,vocab3kyu
problème,問題,,vocab3kyu
pièce,ピース,,vocab3kyu
dit,言った,,vocab3kyu
savait,知っていた,,vocab3kyu
passer,合格,,vocab3kyu
depuis,以来,,vocab3kyu
haut,トップ,,vocab3kyu
ensemble,全体,,vocab3kyu
roi,王,,vocab3kyu
rue,通り,,vocab3kyu
pouce,インチ,,vocab3kyu
multiplier,乗算します,,vocab3kyu
rien,何もない,,vocab3kyu
cours,コース,,vocab3kyu
rester,滞在する,,vocab3kyu
roue,車輪,,vocab3kyu
plein,満杯,,vocab3kyu
force,力,,vocab3kyu
bleu,青,,vocab3kyu
objet,物体,,vocab3kyu
décider,決める,,vocab3kyu
surface,表面,,vocab3kyu
profond,深い,,vocab3kyu
lune,月,,vocab3kyu
île,島,,vocab3kyu
pied,足,,vocab3kyu
système,システム,,vocab3kyu
occupé,忙しい,,vocab3kyu
test,テスト,,vocab3kyu
record,記録,,vocab3kyu
bateau,ボート,,vocab3kyu
commun,一般,,vocab3kyu
or,金,,vocab3kyu
possible,可能,,vocab3kyu
plan,飛行機,,vocab3kyu
place,定常,,vocab3kyu
sec,ドライ,,vocab3kyu
se demander,不思議,,vocab3kyu
rire,笑う,,vocab3kyu
mille,千,,vocab3kyu
il ya,前,,vocab3kyu
ran,走った,,vocab3kyu
vérifier,チェック,,vocab3kyu
jeu,ゲーム,,vocab3kyu
forme,形,,vocab3kyu
assimiler,同等です,,vocab3kyu
chaud,熱い,,vocab3kyu
manquer,逃す,,vocab3kyu
apporté,持ってくる,,vocab3kyu
chaleur,熱,,vocab3kyu
neige,雪,,vocab3kyu
pneu,タイヤ,,vocab3kyu
apporter,持ってくる,,vocab3kyu
oui,はい,,vocab3kyu
lointain,遠い,,vocab3kyu
remplir,埋める,,vocab3kyu
est,東,,vocab3kyu
peindre,ペイント,,vocab3kyu
langue,言語,,vocab3kyu
entre,の間で,,vocab3kyu
unité,ユニット,,vocab3kyu
puissance,力,,vocab3kyu
ville,町,,vocab3kyu
fin,大丈夫,,vocab3kyu
certain,ある,,vocab3kyu
voler,飛ぶ,,vocab3kyu
tomber,秋,,vocab3kyu
conduire,鉛,,vocab3kyu
cri,泣く,,vocab3kyu
sombre,暗い,,vocab3kyu
machine,機械,,vocab3kyu
Note,注記,,vocab3kyu
patienter,待って,,vocab3kyu
plan,プラン,,vocab3kyu
figure,形,,vocab3kyu
étoile,星,,vocab3kyu
boîte,箱,,vocab3kyu
nom,名詞,,vocab3kyu
domaine,分野,,vocab3kyu
reste,休む,,vocab3kyu
correct,正しい,,vocab3kyu
capable,できる,,vocab3kyu
livre,ポンド,,vocab3kyu
Terminé,終わり,,vocab3kyu
beauté,美しさ,,vocab3kyu
entraînement,ドライブ,,vocab3kyu
résisté,立った,,vocab3kyu
contenir,含む,,vocab3kyu
avant,フロント,,vocab3kyu
enseigner,教える,,vocab3kyu
semaine,週,,vocab3kyu
finale,ファイナル,,vocab3kyu
donné,与えた,,vocab3kyu
vert,緑,,vocab3kyu
oh,おお,,vocab3kyu
rapide,素早い,,vocab3kyu
développer,開発する,,vocab3kyu
océan,海,,vocab3kyu
chaud,暖かい,,vocab3kyu
gratuit,無料,,vocab3kyu
minute,分,,vocab3kyu
fort,強い,,vocab3kyu
spécial,特別,,vocab3kyu
esprit,心,,vocab3kyu
derrière,後ろに,,vocab3kyu
clair,クリア,,vocab3kyu
queue,しっぽ,,vocab3kyu
produire,生産する,,vocab3kyu
fait,事実,,vocab3kyu
espace,空間,,vocab3kyu
entendu,聞いた,,vocab3kyu
meilleur,最高,,vocab3kyu
heure,時間,,vocab3kyu
mieux,より良い,,vocab3kyu
vrai,真実,,vocab3kyu
pendant,その間,,vocab3kyu
cent,百,,vocab3kyu
cinq,五,,vocab3kyu
rappeler,覚えて,,vocab3kyu
étape,ステップ,,vocab3kyu
tôt,早い,,vocab3kyu
tenir,所有,,vocab3kyu
ouest,西,,vocab3kyu
sol,地面,,vocab3kyu
intérêt,興味,,vocab3kyu
atteindre,到着,,vocab3kyu
rapide,速い,,vocab3kyu
verbe,動詞,,vocab3kyu
chanter,歌う,,vocab3kyu
écouter,聞く,,vocab3kyu
six,六,,vocab3kyu
table,テーブル,,vocab3kyu
Voyage,旅行,,vocab3kyu
moins,少ない,,vocab3kyu
matin,朝,,vocab3kyu
dix,10,,vocab3kyu
simple,単純,,vocab3kyu
plusieurs,いくつかの,,vocab3kyu
voyelle,母音,,vocab3kyu
vers,向かって,,vocab3kyu
guerre,戦争,,vocab3kyu
poser,横たわる,,vocab3kyu
contre,に対して,,vocab3kyu
modèle,パターン,,vocab3kyu
lent,遅い,,vocab3kyu
centre,中心,,vocab3kyu
amour,愛,,vocab3kyu
personne,人,,vocab3kyu
argent,お金,,vocab3kyu
servir,仕える,,vocab3kyu
apparaître,現れる,,vocab3kyu
route,道,,vocab3kyu
carte,地図,,vocab3kyu
pluie,雨,,vocab3kyu
règle,ルール,,vocab3kyu
gouverner,統治,,vocab3kyu
tirer,引く,,vocab3kyu
froid,寒い,,vocab3kyu
avis,知らせ,,vocab3kyu
voix,声,,vocab3kyu
énergie,エネルギー,,vocab3kyu
chasse,ハント,,vocab3kyu
probable,可能性が高い,,vocab3kyu
lit,ベッド,,vocab3kyu
frère,兄弟,,vocab3kyu
œuf,卵,,vocab3kyu
tour,乗る,,vocab3kyu
cellule,細胞,,vocab3kyu
croire,信じる,,vocab3kyu
peut-être,多分,,vocab3kyu
choisir,選ぶ,,vocab3kyu
soudain,突然,,vocab3kyu
compter,カウント,,vocab3kyu
carré,四角,,vocab3kyu
raison,理由,,vocab3kyu
longueur,長さ,,vocab3kyu
représenter,代表する,,vocab3kyu
art,美術,,vocab3kyu
sujet,主題,,vocab3kyu
région,地域,,vocab3kyu
taille,サイズ,,vocab3kyu
varier,変化する,,vocab3kyu
régler,解決する,,vocab3kyu
parler,話す,,vocab3kyu
poids,重さ,,vocab3kyu
général,一般的な,,vocab3kyu
glace,氷,,vocab3kyu
question,案件,,vocab3kyu
cercle,丸,,vocab3kyu
paire,ペア,,vocab3kyu
inclure,含む,,vocab3kyu
fracture,分ける,,vocab3kyu
syllabe,音節,,vocab3kyu
feutre,感じた,,vocab3kyu
grandiose,グランド,,vocab3kyu
balle,ボール,,vocab3kyu
encore,まだ,,vocab3kyu
vague,波,,vocab3kyu
tomber,落とす,,vocab3kyu
cœur,心臓,,vocab3kyu
h,午前,,vocab3kyu
présent,現在,,vocab3kyu
lourd,重い,,vocab3kyu
danse,ダンス,,vocab3kyu
moteur,エンジン,,vocab3kyu
position,位置,,vocab3kyu
bras,アーム,,vocab3kyu
large,広い,,vocab3kyu
voile,帆,,vocab3kyu
matériel,材料,,vocab3kyu
fraction,分数,,vocab3kyu
forêt,森,,vocab3kyu
s’asseoir,座る,,vocab3kyu
course,人種,,vocab3kyu
fenêtre,ウィンドウ,,vocab3kyu
magasin,店,,vocab3kyu
été,夏,,vocab3kyu
train,電車,,vocab3kyu
sommeil,寝る,,vocab3kyu
prouver,証明する,,vocab3kyu
seul,孤独,,vocab3kyu
jambe,脚,,vocab3kyu
exercice,エクササイズ,,vocab3kyu
mur,壁,,vocab3kyu
capture,キャッチ,,vocab3kyu
monture,マウント,,vocab3kyu
souhaiter,願い,,vocab3kyu
ciel,空,,vocab3kyu
conseil,ボード,,vocab3kyu
joie,喜び,,vocab3kyu
hiver,冬,,vocab3kyu
sat,土,,vocab3kyu
écrit,書かれています,,vocab3kyu
sauvage,野生,,vocab3kyu
instrument,楽器,,vocab3kyu
conservé,保たれた,,vocab3kyu
verre,ガラス,,vocab3kyu
herbe,草,,vocab3kyu
vache,牛,,vocab3kyu
emploi,仕事,,vocab3kyu
bord,角,,vocab3kyu
signe,サイン,,vocab3kyu
visite,訪問,,vocab3kyu
passé,過去,,vocab3kyu
doux,柔らかい,,vocab3kyu
amusement,楽しい,,vocab3kyu
clair,明るい,,vocab3kyu
gaz,ガス,,vocab3kyu
temps,天気,,vocab3kyu
mois,月,,vocab3kyu
million,百万,,vocab3kyu
porter,クマ,,vocab3kyu
finition,仕上げる,,vocab3kyu
heureux,ハッピー,,vocab3kyu
espoir,希望,,vocab3kyu
fleur,花,,vocab3kyu
vêtir,服,,vocab3kyu
étrange,奇妙な,,vocab3kyu
disparu,消えた,,vocab3kyu
commerce,貿易,,vocab3kyu
mélodie,メロディー,,vocab3kyu
voyage,旅行,,vocab3kyu
bureau,オフィス,,vocab3kyu
recevoir,受け取る,,vocab3kyu
rangée,行,,vocab3kyu
bouche,口,,vocab3kyu
exact,ちょうど,,vocab3kyu
symbole,シンボル,,vocab3kyu
mourir,死ぬ,,vocab3kyu
moins,少しでも,,vocab3kyu
difficulté,トラブル,,vocab3kyu
cri,叫ぶ,,vocab3kyu
sauf,を除外する,,vocab3kyu
écrit,書いた,,vocab3kyu
semence,シード,,vocab3kyu
ton,トーン,,vocab3kyu
joindre,参加する,,vocab3kyu
suggérer,提案する,,vocab3kyu
propre,クリーン,,vocab3kyu
pause,壊す,,vocab3kyu
dame,レディ,,vocab3kyu
cour,ヤード,,vocab3kyu
augmenter,上昇,,vocab3kyu
mauvais,悪い,,vocab3kyu
coup,吹く,,vocab3kyu
huile,油,,vocab3kyu
sang,血,,vocab3kyu
toucher,触る,,vocab3kyu
a augmenté,成長した,,vocab3kyu
cent,セント,,vocab3kyu
mélanger,ミックス,,vocab3kyu
équipe,チーム,,vocab3kyu
fil,ワイヤー,,vocab3kyu
coût,料金,,vocab3kyu
perdu,失った,,vocab3kyu
brun,茶色,,vocab3kyu
porter,着る,,vocab3kyu
jardin,庭,,vocab3kyu
égal,等しい,,vocab3kyu
expédié,送信済み,,vocab3kyu
choisir,選ぶ,,vocab3kyu
est tombé,落ちた,,vocab3kyu
s’adapter,フィット,,vocab3kyu
débit,流れ,,vocab3kyu
juste,公平,,vocab3kyu
banque,銀行,,vocab3kyu
recueillir,集める,,vocab3kyu
sauver,保存,,vocab3kyu
contrôle,コントロール,,vocab3kyu
décimal,小数,,vocab3kyu
oreille,耳,,vocab3kyu
autre,それ以外,,vocab3kyu
tout à fait,とても,,vocab3kyu
cassé,壊れた,,vocab3kyu
cas,場合,,vocab3kyu
milieu,真ん中,,vocab3kyu
tuer,殺す,,vocab3kyu
fils,息子,,vocab3kyu
lac,湖,,vocab3kyu
moment,一瞬,,vocab3kyu
échelle,規模,,vocab3kyu
fort,うるさい,,vocab3kyu
printemps,春,,vocab3kyu
observer,観察する,,vocab3kyu
enfant,子供,,vocab3kyu
droit,真っ直ぐ,,vocab3kyu
consonne,子音,,vocab3kyu
nation,国家,,vocab3kyu
dictionnaire,辞書,,vocab3kyu
lait,牛乳,,vocab3kyu
vitesse,スピード,,vocab3kyu
méthode,方法,,vocab3kyu
organe,器官,,vocab3kyu
payer,支払う,,vocab3kyu
âge,年,,vocab3kyu
section,セクション,,vocab3kyu
robe,ドレス,,vocab3kyu
nuage,雲,,vocab3kyu
surprise,驚き,,vocab3kyu
calme,静かな,,vocab3kyu
pierre,石,,vocab3kyu
minuscule,小さい,,vocab3kyu
montée,登る,,vocab3kyu
frais,いいね,,vocab3kyu
conception,デザイン,,vocab3kyu
pauvres,貧しい,,vocab3kyu
lot,多く,,vocab3kyu
expérience,実験,,vocab3kyu
bas,底,,vocab3kyu
clé,鍵,,vocab3kyu
fer,鉄,,vocab3kyu
unique,シングル,,vocab3kyu
bâton,スティック,,vocab3kyu
plat,フラット,,vocab3kyu
vingt,20,,vocab3kyu
peau,肌,,vocab3kyu
sourire,笑顔,,vocab3kyu
pli,折り目,,vocab3kyu
trou,穴,,vocab3kyu
sauter,ジャンプ,,vocab3kyu
bébé,赤ちゃん,,vocab3kyu
huit,八,,vocab3kyu
village,村,,vocab3kyu
se rencontrent,会う,,vocab3kyu
racine,根,,vocab3kyu
acheter,買う,,vocab3kyu
augmenter,上げる,,vocab3kyu
résoudre,解決する,,vocab3kyu
métal,金属,,vocab3kyu
si,かどうか,,vocab3kyu
pousser,押す,,vocab3kyu
sept,セブン,,vocab3kyu
paragraphe,段落,,vocab3kyu
troisième,三番目,,vocab3kyu
doit,しなければならない,,vocab3kyu
en attente,開催,,vocab3kyu
cheveux,髪,,vocab3kyu
décrire,説明する,,vocab3kyu
cuisinier,料理する,,vocab3kyu
étage,床,,vocab3kyu
chaque,どちらか,,vocab3kyu
résultat,結果,,vocab3kyu
brûler,やけど,,vocab3kyu
colline,丘,,vocab3kyu
coffre-fort,安全,,vocab3kyu
chat,猫,,vocab3kyu
siècle,世紀,,vocab3kyu
envisager,考慮する,,vocab3kyu
type,タイプ,,vocab3kyu
droit,法,,vocab3kyu
peu,少し,,vocab3kyu
côte,海岸,,vocab3kyu
copie,コピー,,vocab3kyu
phrase,フレーズ,,vocab3kyu
silencieux,静けさ,,vocab3kyu
haut,高い,,vocab3kyu
sable,砂,,vocab3kyu
sol,土壌,,vocab3kyu
rouleau,ロール,,vocab3kyu
température,温度,,vocab3kyu
doigt,指,,vocab3kyu
industrie,業界,,vocab3kyu
valeur,価値,,vocab3kyu
lutte,戦い,,vocab3kyu
mensonge,嘘,,vocab3kyu
battre,ビート,,vocab3kyu
exciter,エキサイト,,vocab3kyu
naturel,自然,,vocab3kyu
vue,ビュー,,vocab3kyu
sens,センス,,vocab3kyu
capital,資本,,vocab3kyu
ne sera pas,しない,,vocab3kyu
chaise,椅子,,vocab3kyu
danger,危険,,vocab3kyu
fruit,フルーツ,,vocab3kyu
riche,リッチ,,vocab3kyu
épais,厚い,,vocab3kyu
soldat,兵士,,vocab3kyu
processus,プロセス,,vocab3kyu
fonctionner,動作します,,vocab3kyu
pratique,練習する,,vocab3kyu
séparé,別,,vocab3kyu
difficile,難しい,,vocab3kyu
médecin,医者,,vocab3kyu
s’il vous plaît,お願いします,,vocab3kyu
protéger,守る,,vocab3kyu
midi,正午,,vocab3kyu
récolte,作物,,vocab3kyu
moderne,モダンな,,vocab3kyu
élément,要素,,vocab3kyu
frapper,打つ,,vocab3kyu
étudiant,学生,,vocab3kyu
coin,コーナー,,vocab3kyu
partie,パーティー,,vocab3kyu
alimentation,供給,,vocab3kyu
dont,だれの,,vocab3kyu
localiser,見つけます,,vocab3kyu
anneau,指輪,,vocab3kyu
caractère,キャラクター,,vocab3kyu
insecte,昆虫,,vocab3kyu
pris,つかまった,,vocab3kyu
période,期間,,vocab3kyu
indiquer,示す,,vocab3kyu
radio,無線,,vocab3kyu
rayon,スポーク,,vocab3kyu
atome,原子,,vocab3kyu
humain,人間,,vocab3kyu
histoire,歴史,,vocab3kyu
effet,効果,,vocab3kyu
électrique,電気,,vocab3kyu
attendre,期待する,,vocab3kyu
os,骨,,vocab3kyu
rail,レール,,vocab3kyu
imaginer,想像する,,vocab3kyu
fournir,提供する,,vocab3kyu
se mettre d’accord,同意する,,vocab3kyu
ainsi,したがって,,vocab3kyu
doux,優しい,,vocab3kyu
femme,女性,,vocab3kyu
capitaine,キャプテン,,vocab3kyu
deviner,推測,,vocab3kyu
nécessaire,必要,,vocab3kyu
net,シャープ,,vocab3kyu
aile,翼,,vocab3kyu
créer,作成する,,vocab3kyu
voisin,近所の人,,vocab3kyu
lavage,洗う,,vocab3kyu
chauve-souris,バット,,vocab3kyu
plutôt,それよりも,,vocab3kyu
foule,群衆,,vocab3kyu
blé,トウモロコシ,,vocab3kyu
comparer,比較する,,vocab3kyu
poème,詩,,vocab3kyu
chaîne,弦,,vocab3kyu
cloche,ベル,,vocab3kyu
dépendre,依存する,,vocab3kyu
viande,肉,,vocab3kyu
rub,こすります,,vocab3kyu
tube,チューブ,,vocab3kyu
célèbre,有名な,,vocab3kyu
dollar,ドル,,vocab3kyu
courant,ストリーム,,vocab3kyu
peur,恐れ,,vocab3kyu
vue,視力,,vocab3kyu
mince,薄い,,vocab3kyu
triangle,三角形,,vocab3kyu
planète,惑星,,vocab3kyu
se dépêcher,急いで,,vocab3kyu
chef,チーフ,,vocab3kyu
colonie,コロニー,,vocab3kyu
horloge,クロック,,vocab3kyu
mine,私の,,vocab3kyu
lien,ネクタイ,,vocab3kyu
entrer,入力,,vocab3kyu
majeur,選考科目,,vocab3kyu
frais,新鮮な,,vocab3kyu
recherche,検索,,vocab3kyu
envoyer,送信,,vocab3kyu
jaune,黄色,,vocab3kyu
pistolet,銃,,vocab3kyu
permettre,許可する,,vocab3kyu
impression,印刷,,vocab3kyu
mort,死んだ,,vocab3kyu
place,スポット,,vocab3kyu
désert,砂漠,,vocab3kyu
costume,スーツ,,vocab3kyu
courant,現在,,vocab3kyu
ascenseur,リフト,,vocab3kyu
rose,薔薇,,vocab3kyu
arriver,到着,,vocab3kyu
maître,マスター,,vocab3kyu
piste,追跡,,vocab3kyu
mère,親,,vocab3kyu
rivage,海岸,,vocab3kyu
division,分割,,vocab3kyu
feuille,シート,,vocab3kyu
substance,物質,,vocab3kyu
favoriser,好意,,vocab3kyu
relier,接続する,,vocab3kyu
poste,役職,,vocab3kyu
passer,過ごす,,vocab3kyu
corde,コード,,vocab3kyu
graisse,脂肪,,vocab3kyu
heureux,嬉しい,,vocab3kyu
original,オリジナル,,vocab3kyu
